,Symbol,Description,Category2,Category3,Sector,Market cap,Dividend yield,Country,Action
97,BX,Blackstone Group Inc. Class A,Common stocks,Large cap,Financials,"$92,796,381,936",2.61%,USA,Analyze
98,GILD,Gilead Sciences Inc,Common stocks,Large cap,Health Care,"$91,406,927,248",3.84%,USA,Analyze
99,MDLZ,Mondelez International Inc,Common stocks,Large cap,Consumer Staples,"$91,398,574,089",1.96%,USA,Analyze
100,SHW,Sherwin Williams,Common stocks,Large cap,Materials,"$90,601,895,528",0.63%,USA,Analyze
101,TJX,"TJX Companies, Inc.",Common stocks,Large cap,Consumer Discretionary,"$88,618,935,890",1.39%,USA,Analyze
102,CCI,Crown Castle International Corp.,REITs,Large cap,Real Estate,"$88,493,615,028",2.64%,USA,Analyze
103,MMC,Marsh & McLennan Inc,Common stocks,Large cap,Financials,"$87,796,255,368",1.14%,USA,Analyze
104,MO,Altria Group Inc,Common stocks,Large cap,Consumer Staples,"$85,952,706,981",7.43%,USA,Analyze
105,PNC,"PNC Financial Services Group, Inc.",Common stocks,Large cap,Financials,"$84,980,387,063",2.37%,USA,Analyze
106,USB,US Bancorp,Common stocks,Large cap,Financials,"$84,133,940,306",3.00%,USA,Analyze
107,CSX,CSX Corp,Common stocks,Large cap,Industrials,"$83,844,702,893",1.00%,USA,Analyze
108,GM,General Motors,Common stocks,Large cap,Consumer Discretionary,"$83,380,336,684",0.00%,USA,Analyze
109,CB,Chubb Ltd,Common stocks,Large cap,Financials,"$83,339,822,854",1.63%,USA,Analyze
110,CME,CME Group Inc Class A,Common stocks,Large cap,Financials,"$82,456,263,054",1.56%,USA,Analyze
111,F,Ford Motor Company,Common stocks,Large cap,Consumer Discretionary,"$81,648,100,082",0.48%,USA,Analyze
112,EW,Edwards Lifesciences Corp,Common stocks,Large cap,Health Care,"$81,525,598,488",0.00%,USA,Analyze
113,UBER,"Uber Technologies, Inc.",Common stocks,Large cap,Industrials,"$79,944,523,607",0.00%,USA,Analyze
114,DUK,Duke Energy Corp,Common stocks,Large cap,Utilities,"$79,464,880,497",3.72%,USA,Analyze
115,HCA,"HCA Healthcare, Inc.",Common stocks,Large cap,Health Care,"$78,928,255,956",0.75%,USA,Analyze
116,TFC,Truist Financial Corporation,Common stocks,Large cap,Financials,"$78,037,758,610",3.15%,USA,Analyze
117,ICE,Intercontinental Exchange Inc,Common stocks,Large cap,Financials,"$77,608,947,284",0.95%,USA,Analyze
118,MRVL,Marvell Technology Group Ltd,Common stocks,Large cap,Information Technology,"$76,625,478,000",0.13%,USA,Analyze
119,ITW,Illinois Tool Inc,Common stocks,Large cap,Industrials,"$76,502,149,104",1.89%,USA,Analyze
120,CI,Cigna Corp,Common stocks,Large cap,Health Care,"$75,519,132,812",1.75%,USA,Analyze
121,EQIX,"Equinix, Inc.",REITs,Large cap,Real Estate,"$75,194,306,532",1.37%,USA,Analyze
122,MCO,Moodys Corp,Common stocks,Large cap,Financials,"$74,261,473,000",0.62%,USA,Analyze
