Symbol;Description;Category2;Category3;Sector;Market cap;Dividend yield;Country;Action
T;AT&T Inc.;Common stocks;Large cap;Communication Services;$176,929,200,000;8.24%;USA;Analyze
LOW;Lowes Companies Inc;Common stocks;Large cap;Consumer Discretionary;$170,929,661,849;1.10%;USA;Analyze
SCHW;Charles Schwab Corporation;Common stocks;Large cap;Financials;$161,262,640,108;0.84%;USA;Analyze
UNP;Union Pacific Corp;Common stocks;Large cap;Industrials;$159,401,029,815;1.72%;USA;Analyze
TMUS;T Mobile US Inc;Common stocks;Large cap;Communication Services;$148,112,767,469;0.00%;USA;Analyze
PM;Philip Morris International Inc;Common stocks;Large cap;Consumer Staples;$145,625,661,187;5.19%;USA;Analyze
AMAT;Applied Material Inc;Common stocks;Large cap;Information Technology;$144,578,875,715;0.72%;USA;Analyze
HON;Honeywell International Inc;Common stocks;Large cap;Industrials;$142,111,154,729;0.89%;USA;Analyze
MDT;Medtronic Plc;Common stocks;Large cap;Health Care;$140,412,169,383;2.35%;USA;Analyze
BLK;Blackrock Inc;Common stocks;Large cap;Financials;$140,154,229,985;1.78%;USA;Analyze
BMY;Bristol Myers Squibb;Common stocks;Large cap;Health Care;$138,261,683,001;3.11%;USA;Analyze
CVS;CVS Health Corp;Common stocks;Large cap;Health Care;$135,174,006,477;1.94%;USA;Analyze
SBUX;Starbucks Corp;Common stocks;Large cap;Consumer Discretionary;$134,002,904,000;1.60%;USA;Analyze
EL;Estee Lauder Inc Class A;Common stocks;Large cap;Consumer Staples;$133,530,619,844;0.59%;USA;Analyze
NOW;Servicenow Inc;Common stocks;Large cap;Information Technology;$131,992,720,000;0.00%;USA;Analyze
ISRG;Intuitive Surgical Inc;Common stocks;Large cap;Health Care;$130,241,414,783;0.00%;USA;Analyze
AMT;American Tower Corporation;REITs;Large cap;Real Estate;$130,139,018,055;1.81%;USA;Analyze
GS;Goldman Sachs Group Inc;Common stocks;Large cap;Financials;$129,913,067,959;1.66%;USA;Analyze
RTX;Raytheon Technologies Corporation;Common stocks;Large cap;Industrials;$127,585,334,728;2.33%;USA;Analyze
AXP;American Express;Common stocks;Large cap;Financials;$127,329,221,551;1.04%;USA;Analyze
AMGN;Amgen Inc;Common stocks;Large cap;Health Care;$126,830,583,153;3.09%;USA;Analyze
C;Citigroup Inc;Common stocks;Large cap;Financials;$122,924,521,349;3.33%;USA;Analyze
PLD;Prologis, Inc;REITs;Large cap;Real Estate;$122,646,956,030;1.51%;USA;Analyze
BA;Boeing;Common stocks;Large cap;Industrials;$119,402,851,340;0.00%;USA;Analyze
IBM;International Business Machines Co;Common stocks;Large cap;Information Technology;$117,973,648,008;4.89%;USA;Analyze
CHTR;Charter Communications Inc Class A;Common stocks;Large cap;Communication Services;$116,960,531,472;0.00%;USA;Analyze
ZTS;Zoetis Inc;Common stocks;Large cap;Health Care;$116,630,246,381;0.40%;USA;Analyze
SPGI;S&P Global Inc;Common stocks;Large cap;Financials;$115,222,100,000;0.64%;USA;Analyze
CAT;Caterpillar Inc;Common stocks;Large cap;Industrials;$111,639,527,408;2.06%;USA;Analyze
ANTM;Anthem Inc;Common stocks;Large cap;Health Care;$111,532,247,916;0.98%;USA;Analyze
DE;Deere & Company;Common stocks;Large cap;Industrials;$107,823,104,162;1.03%;USA;Analyze
TGT;Target Corp;Common stocks;Large cap;Consumer Discretionary;$107,371,670,024;1.40%;USA;Analyze
MU;Micron Technology Inc;Common stocks;Large cap;Information Technology;$105,777,629,398;0.11%;USA;Analyze
GE;General Electric;Common stocks;Large cap;Industrials;$103,905,735,051;0.34%;USA;Analyze
ADP;Automatic Data Processing Inc;Common stocks;Large cap;Information Technology;$103,782,675,704;1.54%;USA;Analyze
MMM;3M;Common stocks;Large cap;Industrials;$102,245,379,305;3.31%;USA;Analyze
SYK;Stryker Corp;Common stocks;Large cap;Health Care;$101,974,373,874;0.93%;USA;Analyze
LRCX;Lam Research Corp;Common stocks;Large cap;Information Technology;$101,853,777,410;0.77%;USA;Analyze
SNOW;Snowflake Inc. Class A;Common stocks;Large cap;Information Technology;$100,101,033,772;0.00%;USA;Analyze
MRNA;Moderna, Inc.;Common stocks;Large cap;Health Care;$100,097,379,226;0.00%;USA;Analyze
TEAM;Atlassian Plc Class A;Common stocks;Large cap;Information Technology;$98,631,708,536;0.00%;United Kingdom;Analyze
BKNG;Booking Holdings Inc;Common stocks;Large cap;Consumer Discretionary;$98,326,925,467;0.00%;USA;Analyze
LMT;Lockheed Martin Corp;Common stocks;Large cap;Industrials;$96,602,474,203;2.99%;USA;Analyze
COP;ConocoPhillips;Common stocks;Large cap;Energy;$96,560,100,133;2.37%;USA;Analyze
RIVN;Rivian Automotive, Inc.  Class A;Common stocks;Large cap;Consumer Discretionary;$95,577,006,618;0.00%;USA;Analyze
BX;Blackstone Group Inc. Class A;Common stocks;Large cap;Financials;$92,796,381,936;2.61%;USA;Analyze
GILD;Gilead Sciences Inc;Common stocks;Large cap;Health Care;$91,406,927,248;3.84%;USA;Analyze
MDLZ;Mondelez International Inc;Common stocks;Large cap;Consumer Staples;$91,398,574,089;1.96%;USA;Analyze
SHW;Sherwin Williams;Common stocks;Large cap;Materials;$90,601,895,528;0.63%;USA;Analyze
TJX;TJX Companies, Inc.;Common stocks;Large cap;Consumer Discretionary;$88,618,935,890;1.39%;USA;Analyze
CCI;Crown Castle International Corp.;REITs;Large cap;Real Estate;$88,493,615,028;2.64%;USA;Analyze
MMC;Marsh & McLennan Inc;Common stocks;Large cap;Financials;$87,796,255,368;1.14%;USA;Analyze
MO;Altria Group Inc;Common stocks;Large cap;Consumer Staples;$85,952,706,981;7.43%;USA;Analyze
PNC;PNC Financial Services Group, Inc.;Common stocks;Large cap;Financials;$84,980,387,063;2.37%;USA;Analyze
USB;US Bancorp;Common stocks;Large cap;Financials;$84,133,940,306;3.00%;USA;Analyze
CSX;CSX Corp;Common stocks;Large cap;Industrials;$83,844,702,893;1.00%;USA;Analyze
GM;General Motors;Common stocks;Large cap;Consumer Discretionary;$83,380,336,684;0.00%;USA;Analyze
CB;Chubb Ltd;Common stocks;Large cap;Financials;$83,339,822,854;1.63%;USA;Analyze
CME;CME Group Inc Class A;Common stocks;Large cap;Financials;$82,456,263,054;1.56%;USA;Analyze
F;Ford Motor Company;Common stocks;Large cap;Consumer Discretionary;$81,648,100,082;0.48%;USA;Analyze
EW;Edwards Lifesciences Corp;Common stocks;Large cap;Health Care;$81,525,598,488;0.00%;USA;Analyze
UBER;Uber Technologies, Inc.;Common stocks;Large cap;Industrials;$79,944,523,607;0.00%;USA;Analyze
DUK;Duke Energy Corp;Common stocks;Large cap;Utilities;$79,464,880,497;3.72%;USA;Analyze
HCA;HCA Healthcare, Inc.;Common stocks;Large cap;Health Care;$78,928,255,956;0.75%;USA;Analyze
TFC;Truist Financial Corporation;Common stocks;Large cap;Financials;$78,037,758,610;3.15%;USA;Analyze
ICE;Intercontinental Exchange Inc;Common stocks;Large cap;Financials;$77,608,947,284;0.95%;USA;Analyze
MRVL;Marvell Technology Group Ltd;Common stocks;Large cap;Information Technology;$76,625,478,000;0.13%;USA;Analyze
ITW;Illinois Tool Inc;Common stocks;Large cap;Industrials;$76,502,149,104;1.89%;USA;Analyze
CI;Cigna Corp;Common stocks;Large cap;Health Care;$75,519,132,812;1.75%;USA;Analyze
EQIX;Equinix, Inc.;REITs;Large cap;Real Estate;$75,194,306,532;1.37%;USA;Analyze
MCO;Moodys Corp;Common stocks;Large cap;Financials;$74,261,473,000;0.62%;USA;Analyze
NSC;Norfolk Southern Corp;Common stocks;Large cap;Industrials;$74,044,244,718;1.42%;USA;Analyze
BDX;Becton Dickinson;Common stocks;Large cap;Health Care;$71,637,099,748;1.33%;USA;Analyze
SQ;Square Inc Class A;Common stocks;Large cap;Information Technology;$71,604,000,000;0.00%;USA;Analyze
SO;Southern Co;Common stocks;Large cap;Utilities;$70,964,471,220;3.85%;USA;Analyze
CL;Colgate-Palmolive;Common stocks;Large cap;Consumer Staples;$70,723,433,662;2.12%;USA;Analyze
